" MADISON",550  THOMAS JEFFERSON CIR,90000
" MADISON",564  THOMAS JEFFERSON CIR,87000
" MADISON",570  THOMAS JEFFERSON CIR,89920
" MADISON",580  THOMAS JEFFERSON CIR,78500
" MADISON",583 THOMAS JEFFERSON  CIR,92000
" MADISON",585 THOMAS JEFFERSON  CIR,89990
" MADISON",589  THOMAS JEFFERSON CIR,51900
" MADISON",591 THOMAS JEFFERSON  CIR,89000
" MADISON",597  THOMAS JEFFERSON CIR,89900
" MADISON",599  THOMAS JEFFERSON CIR,82000
" MADISON",586  THOMAS JEFFERSON CIR,87900
" MADISON",0  PAULA DR,79900
" MADISON",2580  VAL MARIE DR,40000
" MADISON",2568  VAL MARIE DR,40000
" MADISON",2564  VAL MARIE DR,40000
" MADISON",2560  VAL MARIE DR,40000
" MADISON",2556  VAL MARIE DR,40000
" MADISON",2548 VAL MARIE  DR,40000
" MADISON",2524  VAL MARIE DR,40000
" MADISON",2524  VAL MARIE DR,40000
" MADISON",2520  VAL MARIE DR,40000
" MADISON",2516  VAL MARIE DR,40000
" MADISON",2512  VAL MARIE DR,40000
" MADISON",2508  VAL MARIE DR,40000
" MADISON",2504  VAL MARIE DR,40000
" MADISON",2505  VAL MARIE DR,40000
" MADISON",2509  VAL MARIE DR,40000
" MADISON",2513  VAL MARIE DR,40000
" MADISON",2521  VAL MARIE DR,40000
" MADISON",2525  VAL MARIE DR,40000
" MADISON",2502 VAL MARIE  DR,40000
" MADISON",2500 VAL MARIE  DR,40000
" MADISON",2574  VAL MARIE DR,40000
" MADISON",2572  VAL MARIE DR,40000
" MADISON",2554  VAL MARIE DR,40000
" MADISON",2552 VAL MARIE  DR,40000
" MADISON",2534 VAL MARIE  DR,40000
" MADISON",2532 VAL MARIE  DR,40000
" MADISON",2530 VAL MARIE  DR,40000
" MADISON",2528 VAL MARIE  DR,40000
" GOODLETTSVILLE",300  W MONTICELLO AVE,85900
" GOODLETTSVILLE",103  MONTICELLO AVE,86000
" GOODLETTSVILLE",102  MONTICELLO AVE,87500
" GOODLETTSVILLE",401  MELISSA CT,83000
" GOODLETTSVILLE",411  JANETTE CT,81000
" MADISON",344 DINWIDDIE  DR,84250
" MADISON",119  WELWORTH ST,16500
" MADISON",172 WELWORTH  ST,22500
" MADISON",1417  FLORENCE AVE,91500
" MADISON",0 MCKINLEY  ST,29750
" MADISON",0 MCKINLEY  ST,29750
" MADISON",122 A  MCKINLEY ST,58500
" MADISON",125  ODETTE ST,58000
